emotion,sentiment,subjectivity,orientation,chapter,paragraph,sentence
-1,1,-1,-1,1,0,0
-1,1,-1,-1,1,0,0
3,-1,-1,-1,1,0,1
1,1,0,-1,1,0,1
0,1,0,-1,1,0,1
0,1,0,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,-1,-1,1,0,1
-1,1,-1,-1,1,0,1
-1,0,-1,-1,1,0,1
3,-1,-1,-1,1,0,1
1,1,0,-1,1,0,1
0,1,0,-1,1,0,1
0,1,0,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,0,1,1,0,1
-1,0,-1,-1,1,0,1
3,-1,-1,-1,1,0,1
-1,1,0,1,1,0,1
-1,1,-1,-1,1,0,1
-1,1,-1,-1,1,0,1
-1,0,-1,-1,1,0,1
-1,1,-1,-1,1,0,1
1,1,0,-1,1,0,1
0,1,0,-1,1,0,1
0,1,0,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,1,-1,1,0,1
-1,1,0,1,1,0,1
-1,0,-1,-1,1,0,1
3,-1,-1,-1,1,0,1
-1,1,0,1,1,0,1
1,1,-1,-1,1,0,1
-1,1,-1,-1,1,0,1
-1,0,-1,-1,1,0,2
3,-1,-1,-1,1,0,2
1,1,0,-1,1,0,2
0,1,0,-1,1,0,2
0,1,0,-1,1,0,2
-1,1,1,-1,1,0,2
-1,1,1,-1,1,0,2
-1,1,1,-1,1,0,2
-1,1,0,1,1,0,2
-1,1,-1,-1,1,0,2
3,-1,-1,-1,1,0,2
-1,1,0,1,1,0,2
1,1,-1,-1,1,0,2
-1,1,-1,-1,1,0,2
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
1,1,0,-1,1,0,3
0,1,0,-1,1,0,3
0,1,0,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,0,1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
1,1,0,-1,1,0,3
0,1,0,-1,1,0,3
0,1,0,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
1,1,0,-1,1,0,3
0,1,0,-1,1,0,3
0,1,0,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
1,1,0,-1,1,0,3
0,1,0,-1,1,0,3
0,1,0,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,0,1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
1,1,0,-1,1,0,3
0,1,0,-1,1,0,3
0,1,0,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,0,1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
-1,1,0,1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
1,1,0,-1,1,0,3
0,1,0,-1,1,0,3
0,1,0,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,0,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
1,1,0,-1,1,0,3
0,1,0,-1,1,0,3
0,1,0,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,1,-1,1,0,3
-1,1,0,1,1,0,3
-1,0,-1,-1,1,0,3
-1,1,0,1,1,0,3
-1,1,0,1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
-1,1,-1,-1,1,0,3
3,-1,-1,-1,1,0,3
0,1,0,-1,1,0,4
0,1,0,-1,1,0,4
-1,1,1,-1,1,0,4
-1,1,1,-1,1,0,4
-1,1,1,-1,1,0,4
-1,1,0,1,1,0,4
-1,0,-1,-1,1,0,4
-1,1,0,1,1,0,5
1,1,-1,-1,1,0,5
-1,1,-1,-1,1,0,5
-1,1,-1,-1,1,0,5
-1,0,-1,-1,1,0,5
3,-1,-1,-1,1,0,5
1,1,0,-1,1,0,5
0,1,0,-1,1,0,5
0,1,0,-1,1,0,5
-1,1,1,-1,1,0,5
-1,1,1,-1,1,0,5
-1,1,1,-1,1,0,5
-1,1,-1,-1,1,0,5
-1,1,-1,-1,1,0,5
-1,0,-1,-1,1,0,5
1,1,0,-1,1,0,6
0,1,0,-1,1,0,6
0,1,0,-1,1,0,6
-1,1,1,-1,1,0,6
-1,1,1,-1,1,0,6
-1,1,0,1,1,0,7
-1,0,-1,-1,1,0,7
3,-1,-1,-1,1,0,7
-1,1,0,1,1,0,7
-1,1,-1,-1,1,0,7
-1,1,-1,-1,1,0,7
-1,0,-1,-1,1,0,7
3,-1,-1,-1,1,0,7
1,1,0,-1,1,0,7
0,1,0,-1,1,0,7
0,1,0,-1,1,0,7
-1,1,1,-1,1,0,7
-1,1,1,-1,1,0,7
-1,1,1,-1,1,0,7
-1,1,0,1,1,0,7
-1,0,-1,-1,1,0,7
3,-1,-1,-1,1,0,7
-1,1,-1,-1,1,0,7
-1,1,-1,-1,1,0,7
-1,0,-1,-1,1,0,7
3,-1,-1,-1,1,0,7
1,1,0,-1,1,0,7
-1,1,-1,-1,1,0,7
0,1,0,-1,1,0,7
-1,1,1,-1,1,0,7
-1,1,-1,-1,1,1,0
-1,1,-1,-1,1,1,0
-1,0,-1,-1,1,1,0
3,-1,-1,-1,1,1,0
1,1,0,-1,1,1,0
0,1,0,-1,1,1,0
0,1,0,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,0,1,1,1,0
-1,0,-1,-1,1,1,0
-1,1,-1,-1,1,1,0
-1,1,-1,-1,1,1,0
-1,0,-1,-1,1,1,0
3,-1,-1,-1,1,1,0
1,1,0,-1,1,1,0
0,1,0,-1,1,1,0
0,1,0,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,1,-1,1,1,0
-1,1,-1,-1,1,1,0
-1,0,-1,-1,1,1,1
3,-1,-1,-1,1,1,1
1,1,0,-1,1,1,1
0,1,0,-1,1,1,1
0,1,0,-1,1,1,1
-1,1,1,-1,1,1,1
-1,1,1,-1,1,1,1
-1,1,0,1,1,1,2
-1,0,-1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,0,-1,-1,1,1,2
3,-1,-1,-1,1,1,2
1,1,0,-1,1,1,2
0,1,0,-1,1,1,2
0,1,0,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,0,1,1,1,2
-1,0,-1,-1,1,1,2
3,-1,-1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,1,-1,-1,1,1,2
-1,0,-1,-1,1,1,2
3,-1,-1,-1,1,1,2
1,1,0,-1,1,1,2
0,1,0,-1,1,1,2
0,1,0,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,1,-1,1,1,2
-1,1,0,1,1,1,2
-1,0,-1,-1,1,1,2
-1,1,0,1,1,1,2
-1,1,-1,-1,1,1,3
-1,1,-1,-1,1,1,3
-1,0,-1,-1,1,1,3
3,-1,-1,-1,1,1,3
1,1,0,-1,1,1,3
0,1,0,-1,1,1,3
-1,1,-1,-1,1,2,0
-1,1,-1,-1,1,2,0
-1,0,-1,-1,1,2,0
3,-1,-1,-1,1,2,0
1,1,0,-1,1,2,0
