word,emotion,color,orientation,sentiment,subjectivity,source
2-faced,,,,negative,,opinion
2-faces,,,,negative,,opinion
a+,,,,positive,,opinion
aback,,brown,,,,colour
abacus,trust,,,,,emolex
abandon,fear,,,negative,weak,emolex
abandoned,anger,black,,negative,weak,emolex
abandonment,anger,black,,negative,weak,emolex
abase,,,,negative,strong,mpqa
abasement,,,,negative,strong,mpqa
abash,,,,negative,strong,mpqa
abate,,,passive,negative,weak,mpqa
abba,,,,positive,,emolex
abbot,trust,,,,,emolex
abdicate,,,passive,negative,weak,mpqa
abduction,fear,white,,negative,,emolex
aberrant,,,,negative,,emolex
aberration,disgust,orange,,negative,strong,emolex
abeyance,,grey,,,,colour
abhor,anger,black,passive,negative,strong,emolex
abhorred,,,,negative,strong,mpqa
abhorrence,,,,negative,strong,mpqa
abhorrent,anger,,,negative,strong,emolex
abhorrently,,,,negative,strong,mpqa
abhors,,,,negative,strong,mpqa
abidance,,,,positive,strong,mpqa
abide,,,active,positive,strong,mpqa
abilities,,,,positive,weak,mpqa
ability,,,,positive,weak,emolex
abject,disgust,,passive,negative,strong,emolex
abjectly,,,,negative,strong,mpqa
abjure,,,,negative,weak,mpqa
ablaze,,red,,,,colour
able,,,,positive,weak,mpqa
abnormal,disgust,,,negative,weak,emolex
aboard,,blue,,,,colour
abode,,brown,,,,colour
abolish,anger,,active,negative,weak,emolex
abolition,,black,,negative,,emolex
abominable,disgust,,,negative,strong,emolex
abominably,,,,negative,strong,opinion
abominate,,,,negative,strong,opinion
abomination,anger,black,,negative,strong,emolex
aboriginal,,brown,,,,colour
abort,,,,negative,,emolex
aborted,,,,negative,,opinion
abortion,disgust,black,,negative,,emolex
abortive,sadness,,,negative,,emolex
aborts,,,,negative,,opinion
abound,,,passive,positive,weak,opinion
abounds,,,,positive,,opinion
above,,,,positive,weak,mpqa
above-average,,,,positive,weak,mpqa
abovementioned,,grey,,positive,,emolex
abrade,,,,negative,weak,opinion
abrasion,,,,negative,,emolex
abrasive,,,,negative,strong,opinion
abroad,,blue,,,,colour
abrogate,,,,negative,,emolex
abrupt,surprise,,,negative,weak,emolex
abruptly,,red,,negative,,opinion
abscess,sadness,,,negative,,emolex
abscond,,,active,negative,strong,opinion
absence,fear,white,,negative,weak,emolex
absent,sadness,white,passive,negative,,emolex
absent-minded,,,passive,negative,strong,opinion
absentee,sadness,,,negative,weak,emolex
absenteeism,,,,negative,,emolex
absinthe,,green,,,,colour
absolute,,,,positive,strong,emolex
absolutely,,,,,strong,mpqa
absolution,joy,,,positive,,emolex
absolve,,,active,positive,strong,mpqa
absorbed,,,,positive,weak,emolex
absorbent,,white,,positive,,inquirer
absorption,,,,positive,,inquirer
absurd,,,,negative,strong,emolex
absurdity,,,,negative,strong,emolex
absurdly,,,,negative,strong,opinion
absurdness,,,,negative,strong,opinion
abundance,anticipation,green,,negative,weak,emolex
abundant,joy,,,positive,weak,emolex
abuse,anger,black,active,negative,weak,emolex
abused,,,,negative,,opinion
abuses,,,,negative,weak,opinion
abusive,,,,negative,strong,opinion
abysmal,sadness,black,,negative,strong,emolex
abysmally,,,,negative,strong,opinion
abyss,fear,black,,negative,strong,emolex
academic,trust,,,positive,,emolex
academy,,,,positive,,emolex
accede,,,active,positive,strong,mpqa
accelerate,anticipation,purple,active,,,emolex
acceleration,,,active,,,inquirer
accentuate,,,active,positive,strong,mpqa
accept,,yellow,passive,positive,weak,mpqa
acceptable,,,,positive,weak,emolex
acceptance,,,passive,positive,weak,emolex
access,,green,,,,colour
accessable,,,,positive,,opinion
accessible,,,,positive,weak,emolex
accession,,,,positive,,inquirer
accident,fear,red,,negative,,emolex
accidental,fear,,,negative,weak,emolex
accidentally,surprise,,,,,emolex
acclaim,,,,positive,strong,opinion
acclaimed,,,,positive,strong,opinion
acclamation,,,,positive,strong,opinion
accolade,anticipation,,,positive,strong,emolex
accolades,,,,positive,strong,opinion
accommodate,,,active,positive,,inquirer
