word,emotion,sentiment,subjectivity,orientation,source
2-faced,,negative,,,opinion
2-faces,,negative,,,opinion
a+,,positive,,,opinion
abacus,trust,,,,emolex
abandon,fear,negative,weak,,emolex
abandoned,anger,negative,weak,,emolex
abandonment,anger,negative,weak,,emolex
abase,,negative,strong,,mpqa
abasement,,negative,strong,,mpqa
abash,,negative,strong,,mpqa
abate,,negative,weak,passive,mpqa
abba,,positive,,,emolex
abbot,trust,,,,emolex
abdicate,,negative,weak,passive,mpqa
abduction,fear,negative,,,emolex
aberrant,,negative,,,emolex
aberration,disgust,negative,strong,,emolex
abhor,anger,negative,strong,passive,emolex
abhorred,,negative,strong,,mpqa
abhorrence,,negative,strong,,mpqa
abhorrent,anger,negative,strong,,emolex
abhorrently,,negative,strong,,mpqa
abhors,,negative,strong,,mpqa
abidance,,positive,strong,,mpqa
abide,,positive,strong,active,mpqa
abilities,,positive,weak,,mpqa
ability,,positive,weak,,emolex
abject,disgust,negative,strong,passive,emolex
abjectly,,negative,strong,,mpqa
abjure,,negative,weak,,mpqa
able,,positive,weak,,mpqa
abnormal,disgust,negative,weak,,emolex
abolish,anger,negative,weak,active,emolex
abolition,,negative,,,emolex
abominable,disgust,negative,strong,,emolex
abominably,,negative,strong,,opinion
abominate,,negative,strong,,opinion
abomination,anger,negative,strong,,emolex
abort,,negative,,,emolex
aborted,,negative,,,opinion
abortion,disgust,negative,,,emolex
abortive,sadness,negative,,,emolex
aborts,,negative,,,opinion
abound,,positive,weak,passive,opinion
abounds,,positive,,,opinion
above,,positive,weak,,mpqa
above-average,,positive,weak,,mpqa
abovementioned,,positive,,,emolex
abrade,,negative,weak,,opinion
abrasion,,negative,,,emolex
abrasive,,negative,strong,,opinion
abrogate,,negative,,,emolex
abrupt,surprise,negative,weak,,emolex
abruptly,,negative,,,opinion
abscess,sadness,negative,,,emolex
abscond,,negative,strong,active,opinion
absence,fear,negative,weak,,emolex
absent,sadness,negative,,passive,emolex
absent-minded,,negative,strong,passive,opinion
absentee,sadness,negative,weak,,emolex
absenteeism,,negative,,,emolex
absolute,,positive,strong,,emolex
absolutely,,,strong,,mpqa
absolution,joy,positive,,,emolex
absolve,,positive,strong,active,mpqa
absorbed,,positive,weak,,emolex
absorbent,,positive,,,inquirer
absorption,,positive,,,inquirer
absurd,,negative,strong,,emolex
absurdity,,negative,strong,,emolex
absurdly,,negative,strong,,opinion
absurdness,,negative,strong,,opinion
abundance,anticipation,negative,weak,,emolex
abundant,joy,positive,weak,,emolex
abuse,anger,negative,weak,active,emolex
abused,,negative,,,opinion
abuses,,negative,weak,,opinion
abusive,,negative,strong,,opinion
abysmal,sadness,negative,strong,,emolex
abysmally,,negative,strong,,opinion
abyss,fear,negative,strong,,emolex
academic,trust,positive,,,emolex
academy,,positive,,,emolex
accede,,positive,strong,active,mpqa
accelerate,anticipation,,,active,emolex
acceleration,,,,active,inquirer
accentuate,,positive,strong,active,mpqa
accept,,positive,weak,passive,mpqa
acceptable,,positive,weak,,emolex
acceptance,,positive,weak,passive,emolex
accessable,,positive,,,opinion
accessible,,positive,weak,,emolex
accession,,positive,,,inquirer
accident,fear,negative,,,emolex
accidental,fear,negative,weak,,emolex
accidentally,surprise,,,,emolex
acclaim,,positive,strong,,opinion
acclaimed,,positive,strong,,opinion
acclamation,,positive,strong,,opinion
accolade,anticipation,positive,strong,,emolex
accolades,,positive,strong,,opinion
accommodate,,positive,,active,inquirer
accommodation,,positive,,,emolex
accommodative,,positive,weak,,opinion
accomodative,,positive,,,opinion
accompaniment,anticipation,positive,,,emolex
accompany,,,,active,inquirer
accomplish,joy,positive,weak,active,emolex
accomplished,joy,positive,,,emolex
accomplishment,,positive,weak,active,emolex
accomplishments,,positive,weak,,opinion
accord,trust,positive,weak,,emolex
accordance,,positive,weak,,mpqa
accordantly,,positive,weak,,mpqa
accost,,negative,weak,active,opinion
account,trust,,,active,emolex
accountability,trust,positive,,,emolex
